Family;Category
Arctiidae;MACRO
Adelidae;micro
Alucitidae;micro
Argyresthiidae;micro
Autostichidae;micro
Batrachedridae;micro
Bedelliidae;micro
Blastobasidae;micro
Brahmaeidae;MACRO
Bucculatricidae;micro
Castniidae;MACRO
Chimabachidae;micro
Choreutidae;micro
Coleophoridae;micro
Cosmopterigidae;micro
Cossidae;MACRO
Crambidae;micro
Depressariidae;micro
Douglasiidae;micro
Drepanidae;MACRO
Dryadaulidae;micro
Elachistidae;micro
Endromidae;MACRO
Epermeniidae;micro
Erebidae;MACRO
Eriocraniidae;micro
Ethmiidae;micro
Gelechiidae;micro
Geometridae;MACRO
Glyphipterigidae;micro
Gracillariidae;micro
Heliodinidae;micro
Heliozelidae;micro
Hepialidae;MACRO
Hesperiidae;MACRO
Incurvariidae;micro
Lasiocampidae;MACRO
Limacodidae;MACRO
Lycaenidae;MACRO
Lyonetiidae;micro
Lypusidae;micro
Meessiidae;micro
Micropterigidae;micro
Momphidae;micro
Nepticulidae;micro
Noctuidae;MACRO
Nolidae;MACRO
Notodontidae;MACRO
Nymphalidae;MACRO
Oecophoridae;micro
Opostegidae;micro
Papilionidae;MACRO
Parametriotidae;micro
Peleopodidae;micro
Pieridae;MACRO
Plutellidae;micro
Praydidae;micro
Prodoxidae;micro
Psychidae;MACRO
Pterophoridae;micro
Pyralidae;micro
Riodinidae;MACRO
Roeslerstammiidae;micro
Saturniidae;MACRO
Satyridae;MACRO
Schreckensteiniidae;micro
Scythrididae;micro
Scythropiidae;micro
Sesiidae;MACRO
Sphingidae;MACRO
Stathmopodidae;micro
Tineidae;micro
Tischeriidae;micro
Tortricidae;micro
Urodidae;micro
Yponomeutidae;micro
Ypsolophidae;micro
Zygaenidae;MACRO